"","target","Commercial_Construction_2017","Commercial_Construction_Permitted_Units_2016","Commercial_Construction_2015","Commercial_Construction_Permitted_Units_2015","Commercial_Construction_2013","Commercial_Construction_Permitted_Units_2013","Grocery_Proximate_Units_2018","Grocery_Proximate_Units_2016","Pharmacy_Proximate_Units_2016","New_Residential_Permit_Units_2016","New_Residential_2014"
"380",0,0,0,0,0,0,0,1,1,0,0,0.42
"381",0.0142857142857143,0.11,3,0.08,3,0.16,6,0,138,149,32,1.63
"382",-0.197142857142857,0.21,1,0.21,1,0,0,1,1,12,2,1.67
"383",-0.211428571428571,0.75,2,0.25,1,0.25,1,284,204,269,0,0
"384",0,0.65,3,0.06,2,0.11,4,341,14,14,200,3.3
"385",0.06,0.93,38,0.46,10,0.37,8,708,368,534,119,11.16
"386",0.0571428571428571,0.65,2,0,0,0.22,1,218,268,328,25,1.73
"387",0.0228571428571429,0,5,0.36,1,0.72,2,0,0,0,2,0
"388",0.0142857142857143,0,0,0,0,0.26,1,0,0,0,4,0
"389",0.0171428571428571,0.3,3,0.3,2,0,0,167,192,25,0,0
"390",3.31742580443438e-18,0,0,0,0,0,0,0,0,0,5,4.73
"391",0.0142857142857143,0.25,0,0.16,2,0.16,2,0,0,0,76,2.55
"392",0.0885714285714286,1.32,18,2.88,24,2.04,17,684,728,728,12,8.88
"393",0.02,0.39,8,0.18,2,0.27,3,188,171,175,6,1.62
"394",0.0285714285714286,0.26,4,0.03,1,0.17,5,2,2,2,40,2.45
"395",0.0914285714285714,0.76,10,0.42,5,1.35,16,141,129,139,0,0.17
"396",-0.257142857142857,0.55,2,1.38,10,0.28,2,497,510,98,0,0
"397",0.0228571428571429,0.31,2,0.31,7,0.09,2,56,62,56,0,0
"398",0.0142857142857143,0.06,0,0.06,1,0,0,136,127,146,2,0
"399",-0.0828571428571428,18.03,63,23.17,63,14.71,40,177,178,156,146,0
"400",0,0,0,0,0,1.07,3,0,0,0,0,0
"401",0.0942857142857143,0.72,1,0,0,0.72,2,29,1,62,0,0
"402",0.02,0.2,0,0.1,1,0.2,2,102,124,124,0,0
"403",0.0857142857142857,1.02,21,0.93,10,1.3,14,0,0,358,2,0.28
"404",0,0.12,6,0.26,9,0.03,1,84,4,4,55,1.42
"405",-0.00571428571428571,3.02,5,1.32,7,0.38,2,69,374,578,0,0
"406",0.02,0.35,3,0.82,7,0.23,2,527,122,199,1,0
"407",1.17142857142857,0.33,1,0.98,3,0,0,0,0,0,0,0
"408",0.0228571428571429,0.03,3,0.03,1,0.07,2,61,46,69,5,0.38
"409",0.374285714285714,0.96,17,3.25,17,1.72,9,171,287,429,0,0
"410",0.0171428571428571,0.43,7,1.99,18,0.77,7,0,13,27,1,0
"411",-0.0342857142857143,0.29,1,0,0,0.04,1,0,0,0,3,0.04
"412",0.0314285714285714,0.89,12,1.96,11,1.42,8,1247,1079,603,167,0.53
"413",-0.00285714285714286,0,10,0,0,0.49,2,17,11,56,8,2.21
"414",0.965714285714286,4.03,33,14.82,72,7,34,597,822,564,26,1.03
"415",0.32,1.45,20,1.2,6,6.78,34,676,698,552,1,0.8
"416",0.0542857142857143,0.32,3,0.95,9,1.9,18,0,109,280,9,4.23
